"STATION","NAME","DATE","TMAX","TMIN"
"USC00040693","BERKELEY, CA US","2022-01-01","52","37"
"USC00040693","BERKELEY, CA US","2022-01-02","53","36"
"USC00040693","BERKELEY, CA US","2022-01-03","53","47"
"USC00040693","BERKELEY, CA US","2022-01-04","57","51"
"USC00040693","BERKELEY, CA US","2022-01-05","58","51"
"USC00040693","BERKELEY, CA US","2022-01-06","54","52"
"USC00040693","BERKELEY, CA US","2022-01-07","55","47"
"USC00040693","BERKELEY, CA US","2022-01-08","57","42"
"USC00040693","BERKELEY, CA US","2022-01-09","60","43"
"USC00040693","BERKELEY, CA US","2022-01-10","62","47"
"USC00040693","BERKELEY, CA US","2022-01-11","63","45"
"USC00040693","BERKELEY, CA US","2022-01-12","65","47"
"USC00040693","BERKELEY, CA US","2022-01-13","60","47"
"USC00040693","BERKELEY, CA US","2022-01-14","62","45"
"USC00040693","BERKELEY, CA US","2022-01-15","62","50"
"USC00040693","BERKELEY, CA US","2022-01-16","63","49"
"USC00040693","BERKELEY, CA US","2022-01-17","63","48"
"USC00040693","BERKELEY, CA US","2022-01-18","57","46"
"USC00040693","BERKELEY, CA US","2022-01-19","61","44"
"USC00040693","BERKELEY, CA US","2022-01-20","62","44"
"USC00040693","BERKELEY, CA US","2022-01-21","68","45"
"USC00040693","BERKELEY, CA US","2022-01-22","67","52"
"USC00040693","BERKELEY, CA US","2022-01-23","66","46"
"USC00040693","BERKELEY, CA US","2022-01-24","61","44"
"USC00040693","BERKELEY, CA US","2022-01-25","57","44"
"USC00040693","BERKELEY, CA US","2022-01-26","63","44"
"USC00040693","BERKELEY, CA US","2022-01-27","67","44"
"USC00040693","BERKELEY, CA US","2022-01-28","69","46"
"USC00040693","BERKELEY, CA US","2022-01-29","64","45"
"USC00040693","BERKELEY, CA US","2022-01-30","59","44"
"USC00040693","BERKELEY, CA US","2022-01-31","62","45"
"USC00040693","BERKELEY, CA US","2022-02-01","63","44"
"USC00040693","BERKELEY, CA US","2022-02-02","64","49"
"USC00040693","BERKELEY, CA US","2022-02-03","65","44"
"USC00040693","BERKELEY, CA US","2022-02-04","66","44"
"USC00040693","BERKELEY, CA US","2022-02-05","64","45"
"USC00040693","BERKELEY, CA US","2022-02-06","69","43"
"USC00040693","BERKELEY, CA US","2022-02-07","71","43"
"USC00040693","BERKELEY, CA US","2022-02-08","72","46"
"USC00040693","BERKELEY, CA US","2022-02-09","74","53"
"USC00040693","BERKELEY, CA US","2022-02-10","81","55"
"USC00040693","BERKELEY, CA US","2022-02-11","76","54"
"USC00040693","BERKELEY, CA US","2022-02-12","79","52"
"USC00040693","BERKELEY, CA US","2022-02-13","78","51"
"USC00040693","BERKELEY, CA US","2022-02-14","55","48"
"USC00040693","BERKELEY, CA US","2022-02-15","63","42"
"USC00040693","BERKELEY, CA US","2022-02-16","69","46"
"USC00040693","BERKELEY, CA US","2022-02-17","70","49"
"USC00040693","BERKELEY, CA US","2022-02-18","66","46"
"USC00040693","BERKELEY, CA US","2022-02-19","73","47"
"USC00040693","BERKELEY, CA US","2022-02-20","59","46"
"USC00040693","BERKELEY, CA US","2022-02-21","58","40"
"USC00040693","BERKELEY, CA US","2022-02-22","55","39"
"USC00040693","BERKELEY, CA US","2022-02-23","57","36"
"USC00040693","BERKELEY, CA US","2022-02-24","58","37"
"USC00040693","BERKELEY, CA US","2022-02-25","62","38"
"USC00040693","BERKELEY, CA US","2022-02-26","59","40"
"USC00040693","BERKELEY, CA US","2022-02-27","69","46"
"USC00040693","BERKELEY, CA US","2022-02-28","74","46"
"USC00040693","BERKELEY, CA US","2022-03-01","70","48"
"USC00040693","BERKELEY, CA US","2022-03-02","69","47"
"USC00040693","BERKELEY, CA US","2022-03-03","58","48"
"USC00040693","BERKELEY, CA US","2022-03-04","60","46"
"USC00040693","BERKELEY, CA US","2022-03-05","58","38"
"USC00040693","BERKELEY, CA US","2022-03-06","52","41"
"USC00040693","BERKELEY, CA US","2022-03-07","71","41"
"USC00040693","BERKELEY, CA US","2022-03-08","72","48"
"USC00040693","BERKELEY, CA US","2022-03-09","69","46"
"USC00040693","BERKELEY, CA US","2022-03-10","73","44"
"USC00040693","BERKELEY, CA US","2022-03-11","73","45"
